Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Cân nặng,Giá(đ)
Bàn phím cơ FL-Esports OG98 White Green 3 Mode Kailh Ice Silver switch,FL-Esports,EK387L,vừa có dây vừa không dây,358.07547169811323,silver,1013.0098039215686,2199000 
Bàn phím cơ E-DRA EK398L Wireless Alpha Blue switch,E-DRA,EK398L,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK398L Wireless Alpha Brown switch,E-DRA,EK398L,không dây,358.07547169811323,brown,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK398L Wireless Alpha Red switch,E-DRA,EK398L,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK398L Wireless Beta Blue switch,E-DRA,EK398L,có dây,358.07547169811323,blue,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK398L Wireless Beta Brown switch,E-DRA,EK398L,không dây,358.07547169811323,brown,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK398L Wireless Beta Red switch,E-DRA,EK398L,không dây,358.07547169811323,red,1013.0098039215686,649000 
Bàn phím cơ Razer Blackwidow V4 Yellow switch,Razer,Blackwidow,có dây,358.07547169811323,yellow,1013.0098039215686,3989000 
Bàn phím cơ AKKO 3098B Plus Multi-modes Black Wireless Akko V3 Cream Blue switch,AKKO,K70,có dây,382.0,blue,1100.0,1499000 
Bàn phím cơ AKKO 3098B Plus Multi-modes Black Wireless Akko V3 Cream Yellow switch,AKKO,EK87,có dây,382.0,yellow,1100.0,1499000 
Bàn phím cơ DareU EK87 V2 White Blue switch,DareU,EK87,không dây,358.07547169811323,blue,1013.0098039215686,479000 
Bàn phím cơ DareU EK87 V2 Black Red switch,DareU,EK87,không dây,358.07547169811323,red,1013.0098039215686,479000 
Bàn phím cơ DareU EK87 V2 Black Brown switch,DareU,EK87,không dây,358.07547169811323,brown,1013.0098039215686,479000 
Bàn phím cơ DareU EK87 V2 Black Blue switch,DareU,EK87,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,479000 
Bộ switch DareU FIREFLY ,DareU,EK398,không dây,358.07547169811323,cherry,1013.0098039215686,149000 
Bộ switch DareU DREAM ,DareU,3098,có dây,358.07547169811323,cherry,1013.0098039215686,149000 
Bàn phím cơ E-DRA EK3287 Brown switch,E-DRA,EK387L,không dây,358.07547169811323,brown,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK387L Blue switch,E-DRA,EK387L,không dây,358.07547169811323,blue,1013.0098039215686,539000 
Bàn phím cơ E-DRA EK387L Brown switch,E-DRA,EK387L,không dây,358.07547169811323,brown,1013.0098039215686,539000 
Bàn phím cơ E-DRA EK368L Wireless Beta Blue switch,E-DRA,EK368L,không dây,358.07547169811323,blue,1013.0098039215686,449000 
Bàn phím cơ E-DRA EK368L Wireless Alpha Blue switch,E-DRA,EK368L,không dây,358.07547169811323,blue,1013.0098039215686,449000 
Bàn phím cơ E-DRA EK375 Alpha Blue switch,E-DRA,EK375,có dây,358.07547169811323,blue,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Alpha Brown switch,E-DRA,EK375,không dây,358.07547169811323,brown,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Alpha Red switch,E-DRA,EK375,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Beta Blue switch,E-DRA,EK375,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Beta Brown switch,E-DRA,EK375,có dây,358.07547169811323,brown,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK375 Beta Red switch,E-DRA,EK375,có dây,358.07547169811323,red,1013.0098039215686,549000 
Bàn phím cơ Logitech G512 RGB GX Red switch,Logitech,V500,có dây,358.07547169811323,silver,1013.0098039215686,1979000 
Bàn phím cơ Logitech G512 RGB GX Brown switch,Logitech,EK384,vừa có dây vừa không dây,358.07547169811323,brown,1013.0098039215686,1979000 
Bàn phím cơ Fuhlen H75S Panda 3 Mode Wireless Fuhlen Brown Pro switch,Fuhlen,ROG,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,1699000 
Bàn phím cơ Fuhlen H75S Panda 3 Mode Wireless Fuhlen Red Pro switch,Fuhlen,FL980,vừa có dây vừa không dây,358.07547169811323,white,1013.0098039215686,1699000 
Bàn phím cơ Fuhlen H75S Panda 3 Mode Wireless Fuhlen Yellow Pro switch,Fuhlen,3108,có dây,358.07547169811323,blue,1013.0098039215686,1699000 
Bàn phím cơ Razer Blackwidow V3 Tenkeyless Yellow switch,Razer,Blackwidow,vừa có dây vừa không dây,358.07547169811323,yellow,1013.0098039215686,1589000 
Bàn phím cơ DareU EK75 Full White DareU Firefly switch,DareU,EK75,có dây,358.07547169811323,blue,1013.0098039215686,589000 
Bàn phím cơ DareU EK75 Full White DareU Dream switch,DareU,EK75,có dây,358.07547169811323,brown,1013.0098039215686,589000 
Bàn phím cơ DareU EK75 White Black DareU Firefly switch,DareU,EK75,không dây,358.07547169811323,pink,1013.0098039215686,589000 
Bàn phím cơ NEWMEN GM328 White Grey Blue switch,NEWMEN,MonsGeek,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,529000 
Bàn phím cơ DarkFlash GD100 Sugar Brown Yellow Axis switch,DarkFlash,EK375,không dây,358.07547169811323,black,1013.0098039215686,599000 
Bàn phím cơ Asus ROG Azoth Wireless NX Red switch,Asus,ROG,không dây,358.07547169811323,red,1013.0098039215686,6189000 
Bàn phím cơ DareU EK1280S V2 Blue switch,DareU,3068B,không dây,358.07547169811323,blue,1013.0098039215686,689000 
Bàn phím cơ E-DRA EK375 Pro Alpha Red switch,E-DRA,EK375,không dây,358.07547169811323,red,1013.0098039215686,1089000 
Bàn phím cơ E-DRA EK375 Pro Beta Red switch,E-DRA,EK375,không dây,358.07547169811323,red,1013.0098039215686,1089000 
Bàn phím cơ E-DRA EK375 Pro Alpha Brown switch,E-DRA,EK375,không dây,358.07547169811323,brown,1013.0098039215686,1089000 
Bàn phím cơ E-DRA EK375 Pro Beta Brown switch,E-DRA,EK375,không dây,358.07547169811323,brown,1013.0098039215686,1089000 
Bàn phím cơ E-DRA EK398 Alpha Blue switch,E-DRA,EK398,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK398 Alpha Brown switch,E-DRA,EK398,có dây,358.07547169811323,brown,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK398 Alpha Red switch,E-DRA,EK398,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK398 Beta Blue switch,E-DRA,EK398,có dây,358.07547169811323,blue,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK398 Beta Brown switch,E-DRA,EK398,không dây,358.07547169811323,brown,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK398 Beta Red switch,E-DRA,EK398,có dây,358.07547169811323,red,1013.0098039215686,479000 
Bàn phím cơ E-DRA EK312 Alpha Red switch,E-DRA,EK312,vừa có dây vừa không dây,44.0,red,750.0,569000 
Bàn phím cơ E-DRA EK312 Alpha Blue switch,E-DRA,EK312,có dây,44.0,blue,750.0,569000 
Bàn phím cơ E-DRA EK312 Alpha Brown switch,E-DRA,EK312,vừa có dây vừa không dây,44.0,brown,750.0,569000 
Bàn phím cơ E-DRA EK312 Beta Blue switch,E-DRA,EK312,có dây,44.0,blue,750.0,569000 
Bàn phím cơ E-DRA EK312 Beta Brown switch,E-DRA,EK312,không dây,44.0,brown,750.0,569000 
Bàn phím cơ E-DRA EK312 Beta Red switch,E-DRA,EK312,có dây,44.0,red,750.0,569000 
Bàn phím cơ DareU EK75 Pro Triple Mode WBC DareU Dream switch,DareU,EK75,không dây,333.0,green,740.0,1049000 
Bàn phím cơ Fuhlen H108S Panda 3 Mode Wireless Fuhlen Red Pro switch,Fuhlen,3098,có dây,358.07547169811323,black,1013.0098039215686,1799000 
