Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn phím Gaming Asus ROG FALCHION RX LP RED ,Asus,ROG Falchion,có dây,306.0,blue,3799000
Bàn phím cơ AKKO 3087 RF One Piece - Luffy ,Akko,Everest Max,không dây,360.0,red,1599000
Bàn phím cơ AKKO 3098 RF Dracula Castle ,Akko,Brown Switch ,không dây,382.0,yellow,1599000
Bàn phím Gaming Asus ROG FALCHION RX LP BLUE ,Asus,ROG Falchion,có dây,306.0,red,3799000
Bàn phím Gaming Asus ROG Strix Scope II 96 WL NX SM ,Asus,GM328,có dây,377.0,yellow,3899000
Bàn phím cơ có dây Logitech G713 RGB TKL Off White Linear ,Logitech,G512 GX,có dây,357.3097826086956,red,2999000
Bàn phím cơ có dây Logitech G713 RGB TKL Off White Tactile ,Logitech,H95S Panda 3 Mode Wireless,có dây,357.3097826086956,brown,2999000
Bàn phím cơ không dây Newmen GM840 Dual Mode Blue sw ,Newmen,KB1,vừa có dây vừa không dây,310.0,blue,1249000
Bàn phím cơ không dây Newmen GM840 Dual Mode Red sw ,Newmen,EK314W,vừa có dây vừa không dây,310.0,white,1249000
Bàn phím cơ có dây Fuhlen CK87S Smoke Panda CSA ,Fuhlen,CK87S,không dây,357.3097826086956,red,1249000
Bàn phím cơ gaming không dây Edra EK368L Beta Brown switch ,Edra,EK368L,không dây,311.0,pink,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Red switch ,Edra,EK368L,không dây,311.0,yellow,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Brown switch ,Edra,EK368L,không dây,311.0,yellow,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Blue switch ,Edra,EK368L,không dây,311.0,cherry,479000
Bàn phím cơ gaming không dây Edra EK368L Beta Red switch ,Edra,EK368L,không dây,311.0,pink,429000
Bàn phím cơ gaming không dây Edra EK368L Beta Blue switch ,Edra,EK368L,không dây,311.0,blue,429000
Bàn phím cơ gaming KENOO ESPORT EK87 - Màu đen - Brown switch,KENOO,EK87,không dây,357.3097826086956,brown,499000
Bàn phím game Corsair K70 RGB Pro Speed sw ,Corsair,GM328,có dây,444.0,cherry,3469000
Bàn phím gaming có dây Corsair K70 PRO-WHT-OPX Silver Switch Led RGB CH-910951A-NA,Corsair,FL100CPM,không dây,357.3097826086956,white,3829000
Bàn phím gaming có dây Corsair K70 PRO-BLK-OPX Silver Switch Led RGB CH-910941A-NA,Corsair,GD68,không dây,357.3097826086956,red,3549000
Bàn phím cơ EDRA EK3104L Alpha Blue switch,Edra,EK387L RGB,có dây,438.0,blue,629000
Bàn phím cơ EDRA EK3104L Alpha Red switch,Edra,EK368L,có dây,438.0,blue,629000
Bàn phím cơ EDRA EK3104L Alpha Brown switch,Edra,CD87HR,có dây,438.0,blue,629000
Bàn phím cơ EDRA EK3104L Beta Blue switch,Edra,EK368L,có dây,438.0,blue,629000
Bàn phím có dây Steelseries Apex Pro 64626,SteelSeries,CD108HR,vừa có dây vừa không dây,357.3097826086956,silver,4489000
Bàn phím cơ EDRA EK3104L Beta Red switch,Edra,K10,có dây,438.0,blue,629000
Bàn phím có dây Steelseries Apex Pro Mini US 64820,SteelSeries,3084,không dây,357.3097826086956,green,4489000
Bàn phím cơ EDRA EK3104L Beta Brown switch,Edra,KB1,có dây,438.0,blue,629000
Bàn phím cơ Corsair K100 RGB Midnight Gold Optical sw ,Corsair,K10,vừa có dây vừa không dây,471.0,green,5779000
Bàn phím không dây Steelseries Apex Pro Mini WL US 64842,SteelSeries,GD100,vừa có dây vừa không dây,357.3097826086956,red,5689000
Bàn phím có dây Steelseries Apex 9 TKL US 64847 - Swappable Switch,SteelSeries,EK387L White,không dây,357.3097826086956,pink,2989000
Bàn phím gaming không dây Corsair K70 Pro Mini trắng Red sw ,Corsair,G512 GX,có dây,357.3097826086956,green,2539000
Bàn phím có dây Steelseries Apex 9 Mini US - 64837 Swappable Switch,SteelSeries,CD87HR,có dây,357.3097826086956,black,2589000
Bàn phím cơ gaming Corsair K60 PRO SE RGB LED,Corsair,Everest Max,không dây,357.3097826086956,cherry,2119000
Bàn phím game không dây Corsair K70 Pro Mini đen Red sw ,Corsair,Kailh Clione Limacina ,có dây,293.0,brown,2539000
Bàn phím có dây Corsair K70 CORE-BLK-CRSR MX-RGB  ,Corsair,Razer DeathStalker V2,không dây,357.3097826086956,yellow,2499000
Bàn Phím Cơ Gaming Edra EK375 Alpha Brown Switch ,Edra,EK375,có dây,327.0,blue,569000
Bàn Phím Cơ Gaming Edra EK375 Alpha Red Switch ,Edra,EK375,có dây,327.0,blue,569000
Bàn Phím Cơ Gaming Edra EK375 Alpha Blue Switch ,Edra,EK375,có dây,327.0,white,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Blue Switch ,Edra,EK375,có dây,327.0,white,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Brown Switch ,Edra,EK375,có dây,327.0,red,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Red Switch ,Edra,EK375,có dây,327.0,brown,569000
Bàn phím cơ không dây EDRA EK398L Beta Blue switch ,Edra,EK398,không dây,357.3097826086956,yellow,649000
Bàn phím cơ không dây EDRA EK398L Beta Brown switch ,Edra,EK398,có dây,357.3097826086956,red,649000
Bàn phím cơ không dây EDRA EK398L Beta Red switch ,Edra,EK398,có dây,357.3097826086956,yellow,649000
Bàn phím cơ không dây EDRA EK398L Alpha Blue switch ,Edra,EK398,không dây,357.3097826086956,brown,649000
Bàn phím cơ không dây EDRA EK398L Alpha Brown switch ,Edra,EK398,có dây,357.3097826086956,white,649000
Bàn phím Không dây Logitech MX Keys Mini Pale Grey for MAC ,Logitech,H95S Panda 3 Mode Wireless,có dây,357.3097826086956,green,2399000
Bàn phím cơ không dây EDRA EK398L Alpha Red switch ,Edra,EK398,có dây,357.3097826086956,red,649000
Bàn phím AKKO 3087 World Tour Tokyo ,Akko,TC-3218,có dây,357.3097826086956,blue,1619000
Bàn phím AKKO 3061s World Tour Tokyo R2 ,Akko,Everest Max,có dây,292.0,green,1049000
Bàn phím AKKO ACR 87 Black ,Akko,Razer DeathStalker V2,không dây,360.0,red,1619000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Purple,Rapoo,E-DRA EK396W V2,vừa có dây vừa không dây,357.3097826086956,white,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Purple,Rapoo,Kailh Clione Limacina ,vừa có dây vừa không dây,357.3097826086956,pink,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Grey,Rapoo,D87S RGB,vừa có dây vừa không dây,357.3097826086956,silver,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode DARK GREY ,Rapoo,K10,vừa có dây vừa không dây,357.3097826086956,blue,1199000
Bàn phím game không dây Logitech G715 TKL RGB Aurora Off White Tactile ,Logitech,GD68,không dây,370.0,red,3799000
Bàn phím cơ Gaming không dây FANTECH MK858 White ,Fantech,ROG Falchion,vừa có dây vừa không dây,357.3097826086956,black,1129000
Bàn phím game không dây Logitech G715 TKL RGB Aurora Off White Linear ,Logitech,ROG Falchion,không dây,370.0,red,3799000
Bàn phím cơ Gaming không dây FANTECH MK858 Black ,Fantech,G512 GX,không dây,357.3097826086956,brown,1129000
Bàn phím không dây Logitech MX Mechanical Graphite Tactile sw ,Logitech,ROG Falchion,vừa có dây vừa không dây,433.0,pink,3599000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Blue Clicky switch,Logitech,ROG Falchion,không dây,357.3097826086956,blue,3599000
Bàn phím cơ Logitech G512 Lightsync RGB Tactile ,Logitech,G512 GX,vừa có dây vừa không dây,132.0,brown,1949000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Brown Tactile switch,Logitech,EK398,không dây,357.3097826086956,brown,3599000
Bàn phím cơ Logitech G512 Lightsync RGB Clicky ,Logitech,G512 GX,không dây,132.0,brown,1949000
Bàn phím không dây Logitech MX Keys Mini Graphite ,Logitech,CD87HR,có dây,357.3097826086956,silver,2599000
Bàn phím không dây Logitech MX Keys Mini Rose ,Logitech,GP75CPM,không dây,357.3097826086956,red,2099000
Bàn phím Không dây Logitech MX Keys Mini Pale Grey ,Logitech,GP75CPM,có dây,357.3097826086956,green,2499000
Bàn phím cơ Darmoshark K7 Pro Gulf Racing Gateron EF Switch 3 mode ,Darmoshark,Kailh Clione Limacina ,vừa có dây vừa không dây,357.3097826086956,blue,2299000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Blue Switch ,Edra,EK375,không dây,323.0,white,1099000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Brown Switch ,Edra,EK375,không dây,323.0,blue,1099000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Red Switch ,Edra,EK375,không dây,323.0,red,1099000
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Blue Switch ,Edra,EK375,không dây,323.0,green,1099000
